group,arm,n,warn_small_n,faithful_F1,naive_F1,deontic_align,scenario_reg_F1
A,hybrid,15,,0.9556,0.9556,0.4111,
A,kg_only,15,,0.6,0.92,0.3654,
A,rag_only,15,,0.9111,0.9111,0.2511,
B,hybrid,18,,0.7241,0.7093,0.5463,
B,kg_only,18,,0.4907,0.7143,0.5741,
B,rag_only,18,,0.6981,0.6833,0.2343,
C,hybrid,5,YES,0.6679,0.659,0.6,
C,kg_only,5,YES,0.5933,0.5933,0.4,
C,rag_only,5,YES,0.5405,0.5405,0.4233,
D,hybrid,10,,0.8333,0.8333,0.65,
D,kg_only,10,,0.5833,0.75,0.65,
D,rag_only,10,,0.7833,0.84,0.2383,
E,hybrid,8,,0.875,0.875,0.625,
E,kg_only,8,,0.625,0.875,0.5,
E,rag_only,8,,0.75,0.75,0.1771,
F,hybrid,5,YES,0.7667,0.7667,0.2667,
F,kg_only,5,YES,0.6667,0.8667,0.2,
F,rag_only,5,YES,0.7667,0.7667,0.32,
G,hybrid,4,YES,,,,0.7917
G,kg_only,4,YES,,,,0.631
G,rag_only,4,YES,,,,0.7083
