group,arm,n,warn_small_n,faithful_F1,naive_F1,deontic_align,scenario_reg_F1
A,hybrid,15,,0.9222,0.9222,0.6778,
A,kg_only,15,,0.9778,0.9778,0.5722,
A,rag_only,15,,0.8711,0.86,0.3,
B,hybrid,18,,0.7296,0.7148,0.4167,
B,kg_only,18,,0.5208,0.6134,0.3889,
B,rag_only,18,,0.7259,0.7111,0.2481,
C,hybrid,5,YES,0.8833,0.8833,0.5333,
C,kg_only,5,YES,0.61,0.61,0.3333,
C,rag_only,5,YES,0.66,0.66,0.48,
D,hybrid,10,,0.9133,0.88,0.44,
D,kg_only,10,,0.78,0.78,0.5,
D,rag_only,10,,0.8,0.85,0.2683,
E,hybrid,8,,0.75,0.7083,0.5625,
E,kg_only,8,,0.875,0.8333,0.4375,
E,rag_only,8,,0.75,0.75,0.2542,
F,hybrid,5,YES,1.0,1.0,0.2,
F,kg_only,5,YES,0.7467,0.7467,0.3167,
F,rag_only,5,YES,0.5,0.5,0.31,
G,hybrid,4,YES,,,,0.5595
G,kg_only,4,YES,,,,0.7143
G,rag_only,4,YES,,,,0.75
