level,idx,total_ms,status,error
1,0,56832.2,200,
1,1,5829.1,200,
2,0,56799.1,200,
2,1,56847.1,200,
2,2,56774.1,200,
2,3,56909.1,200,
4,0,56753.4,200,
4,1,56712.3,200,
4,2,56914.7,200,
4,3,56840.8,200,
4,4,57148.2,200,
4,5,57145.4,200,
4,6,57147.3,200,
4,7,57610.0,200,
8,0,57509.3,200,
8,1,57014.0,200,
8,2,56790.5,200,
8,3,56814.1,200,
8,4,56982.7,200,
8,5,56821.9,200,
8,6,57133.7,200,
8,7,56915.4,200,
8,8,57187.5,200,
8,9,56869.2,200,
8,10,56936.8,200,
8,11,56919.5,200,
8,12,56822.1,200,
8,13,56789.5,200,
8,14,57095.2,200,
8,15,56811.2,200,
