subset,group,phase,n,mean,median,p95,p99,min,max
all,OVERALL,retrieval_ms,14,2569.8,2266.7,4099.8,5780.7,1738.4,6200.9
all,OVERALL,synthesis_ms,10,1610.5,1241.5,2750.4,2761.9,1043.2,2764.8
all,OVERALL,postprocess_ms,10,0.5,0.5,0.9,1.1,0.2,1.1
all,OVERALL,total_ms,15,22694.2,5655.5,59189.2,59371.6,3354.4,59417.2
all,A,retrieval_ms,3,3500.6,2353.0,5816.1,6123.9,1947.8,6200.9
all,A,synthesis_ms,3,1152.1,1126.5,1241.8,1252.0,1075.2,1254.6
all,A,postprocess_ms,3,0.4,0.4,0.5,0.5,0.3,0.5
all,A,total_ms,3,4937.4,3757.3,7306.2,7621.6,3354.4,7700.5
all,B,retrieval_ms,3,2462.1,2292.4,2900.8,2954.9,2125.4,2968.4
all,B,synthesis_ms,3,1325.2,1089.4,1767.6,1827.9,1043.2,1843.0
all,B,postprocess_ms,3,0.5,0.5,0.7,0.7,0.4,0.7
all,B,total_ms,3,4116.8,3712.1,4995.3,5109.4,3500.5,5137.9
all,C,retrieval_ms,3,2697.2,2665.6,2847.3,2863.5,2558.6,2867.5
all,C,synthesis_ms,3,2481.6,2732.9,2761.6,2764.2,1947.1,2764.8
all,C,postprocess_ms,3,0.7,0.7,1.1,1.1,0.4,1.1
all,C,total_ms,3,5473.4,5655.5,5901.4,5923.2,4835.9,5928.7
all,E,retrieval_ms,3,1841.6,1841.3,1934.8,1943.1,1738.4,1945.2
all,E,synthesis_ms,1,1228.5,1228.5,1228.5,1228.5,1228.5,1228.5
all,E,postprocess_ms,1,0.2,0.2,0.2,0.2,0.2,0.2
all,E,total_ms,3,40623.1,59019.3,59377.4,59409.2,3432.8,59417.2
all,G,retrieval_ms,2,2236.7,2236.7,2240.6,2240.9,2232.3,2241.0
all,G,total_ms,3,58320.3,59004.7,59082.8,59089.8,56864.8,59091.5
clean,OVERALL,retrieval_ms,14,2569.8,2266.7,4099.8,5780.7,1738.4,6200.9
clean,OVERALL,synthesis_ms,10,1610.5,1241.5,2750.4,2761.9,1043.2,2764.8
clean,OVERALL,postprocess_ms,10,0.5,0.5,0.9,1.1,0.2,1.1
clean,OVERALL,total_ms,15,22694.2,5655.5,59189.2,59371.6,3354.4,59417.2
clean,A,retrieval_ms,3,3500.6,2353.0,5816.1,6123.9,1947.8,6200.9
clean,A,synthesis_ms,3,1152.1,1126.5,1241.8,1252.0,1075.2,1254.6
clean,A,postprocess_ms,3,0.4,0.4,0.5,0.5,0.3,0.5
clean,A,total_ms,3,4937.4,3757.3,7306.2,7621.6,3354.4,7700.5
clean,B,retrieval_ms,3,2462.1,2292.4,2900.8,2954.9,2125.4,2968.4
clean,B,synthesis_ms,3,1325.2,1089.4,1767.6,1827.9,1043.2,1843.0
clean,B,postprocess_ms,3,0.5,0.5,0.7,0.7,0.4,0.7
clean,B,total_ms,3,4116.8,3712.1,4995.3,5109.4,3500.5,5137.9
clean,C,retrieval_ms,3,2697.2,2665.6,2847.3,2863.5,2558.6,2867.5
clean,C,synthesis_ms,3,2481.6,2732.9,2761.6,2764.2,1947.1,2764.8
clean,C,postprocess_ms,3,0.7,0.7,1.1,1.1,0.4,1.1
clean,C,total_ms,3,5473.4,5655.5,5901.4,5923.2,4835.9,5928.7
clean,E,retrieval_ms,3,1841.6,1841.3,1934.8,1943.1,1738.4,1945.2
clean,E,synthesis_ms,1,1228.5,1228.5,1228.5,1228.5,1228.5,1228.5
clean,E,postprocess_ms,1,0.2,0.2,0.2,0.2,0.2,0.2
clean,E,total_ms,3,40623.1,59019.3,59377.4,59409.2,3432.8,59417.2
clean,G,retrieval_ms,2,2236.7,2236.7,2240.6,2240.9,2232.3,2241.0
clean,G,total_ms,3,58320.3,59004.7,59082.8,59089.8,56864.8,59091.5
